,Virginia,Florida,California,New York,New Jersey,Oregon,Arizona,Washington,Indiana,Texas,Wisconsin,West Virginia,Utah,Pennsylvania,North Carolina,Massachusetts,Nevada,Rhode Island,Colorado,Michigan,Hawaii,Maryland,the District of Columbia,Minnesota,Tennessee,New Hampshire,Kansas,Ohio,South Carolina,Georgia,Oklahoma,New Mexico,Iowa,Missouri,Illinois,South Dakota,Vermont,Wyoming,Montana,Alabama,Connecticut,Delaware,Idaho,North Dakota,Nebraska,Mississippi,Alaska,Arkansas,Louisiana,Kentucky,Maine
8/1/18,261812.8744,232074.5887,530972.3976,331881.1237,335390.7511,346404.8407,253316.2024,381200.4813,147295.1774,201241.9358,193388.3223,115615.9088,313529.1452,179593.5076,193034.4395,414255.0298,286098.8928,285369.4149,373348.5985,160536.9416,608888.9504,301582.4081,553464.1972,241574.2198,186621.1903,271862.048,144515.1646,144050.7623,179917.5609,188683.288,131088.0015,184698.0502,152627.4358,157201.6744,188115.6104,196298.2464,256813.8678,239397.0349,261768.2927,148722.5053,254500.9863,263137.8076,246634.6876,213649.7784,168539.78,132016.1864,281236.7311,140292.8992,171042.9706,134510.3575,229261.6645
9/1/18,262715.0635,233471.2733,534395.911,334322.4307,336350.2176,347421.9797,255082.068,382955.9961,148150.6042,202124.4354,194349.1019,115813.7776,316028.1736,180019.8305,194086.9947,415925.8438,289291.7376,286725.727,374944.1527,161182.8832,610479.5056,302483.1215,554806.8208,242512.7613,187648.5734,272844.6368,145089.7284,144846.2975,180947.7053,190139.7387,131548.9358,185849.2429,153177.8323,157844.4143,188259.1058,197040.8903,258180.5359,240555.7886,263023.8329,149332.7655,254942.9245,263454.6092,249496.5298,213467.7835,169388.4987,132156.2,281857.8437,140609.3163,171300.1186,135276.3753,230686.599
10/1/18,263259.8474,234620.6688,538037.4854,335939.5024,336760.2459,347961.3762,256521.4618,383695.1981,148879.3237,202797.4926,194626.881,115964.933,317924.4284,180266.996,194965.0297,416664.1088,291845.0202,287350.9588,376151.5876,161287.2321,611644.7623,303070.5625,556143.3883,242976.6029,188320.408,273323.0459,145460.6747,145469.8246,181619.479,191361.2354,131906.5739,186643.3309,153442.6573,158377.709,188236.007,197404.6789,258729.7736,241306.8356,263912.3313,149614.0693,255217.0077,263801.2349,252006.7891,213051.8857,169858.3517,132403.9589,282014.123,140641.5101,171005.9869,135655.5324,231433.026
11/1/18,263813.7398,235841.198,540612.655,337089.7665,337394.6959,348411.1238,257845.798,384158.1784,149698.3378,203560.7169,195086.9317,116349.1427,319797.8705,180545.3338,195956.5587,416888.9177,293855.37,287584.5061,377317.083,161643.8788,612036.4582,303621.1465,558193.4087,243485.1333,188952.8078,273690.8128,145973.7697,146205.3224,182234.675,192682.6282,132567.2649,187432.7244,153898.9696,159019.2743,188393.3424,197973.829,258969.3225,241941.1295,264792.1142,150033.579,255412.3475,264319.4852,254433.9318,212749.3703,170415.6848,133083.5491,282076.8923,140882.5862,171009.4983,136148.6791,231917.7352
12/1/18,264357.6781,237160.2642,542121.5079,337764.586,338192.1009,349306.5046,259014.1251,384799.049,150426.0824,204409.3604,195787.6076,116614.7078,321470.6537,180920.0848,197005.6348,416523.5741,295379.9256,287719.8119,378614.0189,162233.9136,612436.5483,304130.9012,559605.8559,244218.0323,189751.2154,274112.1657,146414.2952,146946.6792,182817.8959,194042.5696,133289.9875,188103.5876,154323.2282,159536.9417,188778.6587,198701.5073,259137.1587,242343.6802,265478.4345,150565.219,255515.6953,264868.4073,256758.5623,212420.9701,170846.1705,133671.7333,281717.9657,141255.5709,171225.0378,136671.1045,232514.0863
1/1/19,265094.6603,238350.6363,541650.928,338862.0258,339257.1799,350655.623,260310.2303,385524.5676,151346.071,205250.1693,196973.9886,116873.159,323593.4467,181586.4834,198160.6116,416395.2488,296640.6015,287922.3157,380089.0978,163360.6517,612532.5684,304806.011,560732.7983,245395.3437,190903.8087,274440.7161,146918.4088,147824.4092,183617.3365,195489.2377,133806.5798,188890.9799,154994.8568,160264.2442,189591.0786,199642.0255,259399.2421,242878.1731,266237.6276,151473.3172,255662.3287,265886.9721,258978.2162,212479.3321,171620.679,134200.4229,283536.1641,141845.9564,172053.522,137387.7769,233107.9217
2/1/19,266163.2086,239418.7785,540032.8359,340407.8434,340554.7359,352387.9988,261876.9405,386691.9787,152299.0848,205991.1723,198503.1349,117157.694,326073.7012,182588.7863,199242.5214,416896.7668,297978.897,288513.0123,382004.625,164752.7659,612850.0792,305955.0712,560971.7297,247045.6004,192357.9091,275025.6483,147510.3128,148819.8692,184437.0451,196811.3418,134232.8018,189581.3163,155943.2626,161110.2505,190781.5086,200724.2946,259730.3369,243714.9173,267110.6378,152553.9295,256019.9814,267323.2057,261113.2511,213076.9879,172523.8703,134521.3106,287246.0556,142544.2811,173254.6808,138160.6152,233708.09
3/1/19,267547.8884,240141.0688,538199.5429,342083.6559,342272.3386,354082.5417,263403.0124,388523.5691,153466.5482,206632.252,200164.3142,117465.8679,328842.0892,183643.0806,200356.1437,418006.9204,299286.9284,289343.4172,384088.3424,166259.8105,613435.4244,307561.2322,562581.265,248900.58,193911.4767,275992.9139,148344.1294,149825.7159,185381.1661,197985.2047,134627.7632,190393.8369,157061.4587,162166.2957,191901.1099,201937.417,260191.1967,244987.3928,268468.7836,153807.7787,256557.8249,268780.3284,263348.8474,213974.029,173588.4192,135092.5904,,143306.6902,174745.5897,139006.379,234521.753
4/1/19,268922.3866,240662.6073,537147.3266,343493.5068,344226.7875,355408.1861,264694.0323,390515.5094,154447.1196,207173.6731,201516.4389,117745.9716,331016.3925,184494.7299,201364.3741,419704.3993,300366.1626,290510.1462,385952.6217,167590.7665,614529.2865,309262.9992,564797.0005,250488.7352,195235.0564,277245.5939,149181.0721,150594.1172,186222.118,198950.7888,135129.7772,191406.2853,157979.9448,163105.2184,192743.2472,203093.2796,260678.8424,246456.6145,269987.4833,154788.9139,257123.0891,270078.2733,265595.0848,214735.4047,174534.5263,135781.9031,295717.7517,144114.32,176081.6548,139795.5612,235436.4527
5/1/19,269845.8832,240942.9201,536517.4129,344298.9498,345721.6112,356093.4948,265640.9993,392250.5763,155173.9281,207660.1808,202504.9282,117831.7816,332416.1206,185054.1464,202240.3485,420902.4929,300702.7251,291350.5889,386936.2035,168620.6846,615421.23,310428.1736,566313.3185,251480.9857,196313.5435,278531.61,149787.5598,151074.4008,187022.2388,199743.2098,135541.1036,192619.7378,158678.7562,163767.9387,193118.9142,203990.6256,260955.6179,247732.7453,271338.4163,155437.2566,257404.1208,270615.0533,267748.2467,215365.8148,175331.1372,136452.795,297837.6795,144816.337,177030.1837,140345.8552,236023.0501
